condition,strategy,snr_db,probe_evm_percent,probe_ber,packet_error_rate,probe_pilot_error_percent,estimated_channel_magnitude,selected_modulation,average_ber,success_rate,delivered_bits_per_frame,true_channel_magnitude,interference_present,interference_to_signal_db,interference_bin
231,fixed_qpsk,20.183575962908428,10.736508786460499,0.0,0.0,6.606361285613783,1.7628055769435518,QPSK,0.0,1.0,120.0,1.7816690839609912,0,,-1
231,rule_based,20.183575962908428,10.736508786460499,0.0,0.0,6.606361285613783,1.7628055769435518,64QAM,0.01597222222222222,0.125,45.0,1.7816690839609912,0,,-1
231,ml_based,20.183575962908428,10.736508786460499,0.0,0.0,6.606361285613783,1.7628055769435518,16QAM,0.0,1.0,240.0,1.7816690839609912,0,,-1
232,fixed_qpsk,9.589703209620167,34.969915383781306,0.004166666666666667,0.25,29.525554326055676,0.3439160363752646,QPSK,0.005208333333333333,0.75,90.0,0.3375850287587464,1,-22.007754757886183,-17
232,rule_based,9.589703209620167,34.969915383781306,0.004166666666666667,0.25,29.525554326055676,0.3439160363752646,QPSK,0.005208333333333333,0.75,90.0,0.3375850287587464,1,-22.007754757886183,-17
232,ml_based,9.589703209620167,34.969915383781306,0.004166666666666667,0.25,29.525554326055676,0.3439160363752646,QPSK,0.005208333333333333,0.75,90.0,0.3375850287587464,1,-22.007754757886183,-17
233,fixed_qpsk,15.54743546383553,52.00938992908779,0.008333333333333333,1.0,13.749782785489744,1.4196430470518218,QPSK,0.010416666666666668,0.5,60.0,1.4154290165792474,1,-6.560898907265873,-23
233,rule_based,15.54743546383553,52.00938992908779,0.008333333333333333,1.0,13.749782785489744,1.4196430470518218,16QAM,0.015625,0.25,60.0,1.4154290165792474,1,-6.560898907265873,-23
233,ml_based,15.54743546383553,52.00938992908779,0.008333333333333333,1.0,13.749782785489744,1.4196430470518218,QPSK,0.010416666666666668,0.5,60.0,1.4154290165792474,1,-6.560898907265873,-23
234,fixed_qpsk,22.463249900155354,8.154734640518056,0.0,0.0,6.585807616265813,0.7073068795125289,QPSK,0.0,1.0,120.0,0.7158141412613783,0,,-1
234,rule_based,22.463249900155354,8.154734640518056,0.0,0.0,6.585807616265813,0.7073068795125289,64QAM,0.0010416666666666667,1.0,360.0,0.7158141412613783,0,,-1
