condition,strategy,snr_db,probe_evm_percent,probe_ber,packet_error_rate,selected_modulation,average_ber,success_rate,delivered_bits_per_frame
52,fixed_qpsk,12.605797797619015,24.74744179251832,0.0,0.0,QPSK,0.0,1.0,128.0
52,rule_based,12.605797797619015,24.74744179251832,0.0,0.0,16QAM,0.021875,0.0,0.0
52,ml_based,12.605797797619015,24.74744179251832,0.0,0.0,QPSK,0.0,1.0,128.0
53,fixed_qpsk,14.844890337511687,17.429570834606146,0.0,0.0,QPSK,0.0,1.0,128.0
53,rule_based,14.844890337511687,17.429570834606146,0.0,0.0,16QAM,0.00234375,1.0,256.0
53,ml_based,14.844890337511687,17.429570834606146,0.0,0.0,16QAM,0.00234375,1.0,256.0
54,fixed_qpsk,14.099127372185094,20.629666085308298,0.0,0.0,QPSK,0.0,1.0,128.0
54,rule_based,14.099127372185094,20.629666085308298,0.0,0.0,16QAM,0.01328125,0.4,102.4
54,ml_based,14.099127372185094,20.629666085308298,0.0,0.0,16QAM,0.01328125,0.4,102.4
55,fixed_qpsk,20.26917668548869,10.305606729876873,0.0,0.0,QPSK,0.0,1.0,128.0
55,rule_based,20.26917668548869,10.305606729876873,0.0,0.0,64QAM,0.010416666666666668,0.6,230.4
55,ml_based,20.26917668548869,10.305606729876873,0.0,0.0,64QAM,0.010416666666666668,0.6,230.4
56,fixed_qpsk,17.315325134885978,13.331672736610486,0.0,0.0,QPSK,0.0,1.0,128.0
56,rule_based,17.315325134885978,13.331672736610486,0.0,0.0,16QAM,0.0,1.0,256.0
56,ml_based,17.315325134885978,13.331672736610486,0.0,0.0,16QAM,0.0,1.0,256.0
57,fixed_qpsk,12.488119289773989,23.104613106705095,0.0,0.0,QPSK,0.0,1.0,128.0
57,rule_based,12.488119289773989,23.104613106705095,0.0,0.0,16QAM,0.028125,0.0,0.0
57,ml_based,12.488119289773989,23.104613106705095,0.0,0.0,QPSK,0.0,1.0,128.0
58,fixed_qpsk,0.05407060820457055,97.95032649054956,0.1640625,1.0,QPSK,0.1890625,0.0,0.0
58,rule_based,0.05407060820457055,97.95032649054956,0.1640625,1.0,QPSK,0.1890625,0.0,0.0
58,ml_based,0.05407060820457055,97.95032649054956,0.1640625,1.0,QPSK,0.1890625,0.0,0.0
59,fixed_qpsk,23.820931823265127,6.37232293947543,0.0,0.0,QPSK,0.0,1.0,128.0
59,rule_based,23.820931823265127,6.37232293947543,0.0,0.0,64QAM,0.0,1.0,384.0
59,ml_based,23.820931823265127,6.37232293947543,0.0,0.0,64QAM,0.0,1.0,384.0
60,fixed_qpsk,15.581526634330068,16.792205758407942,0.0,0.0,QPSK,0.0,1.0,128.0
60,rule_based,15.581526634330068,16.792205758407942,0.0,0.0,16QAM,0.00234375,1.0,256.0
60,ml_based,15.581526634330068,16.792205758407942,0.0,0.0,16QAM,0.00234375,1.0,256.0
61,fixed_qpsk,9.7963399143381,30.54191852497519,0.0,0.0,QPSK,0.0015625,1.0,128.0
61,rule_based,9.7963399143381,30.54191852497519,0.0,0.0,QPSK,0.0015625,1.0,128.0
61,ml_based,9.7963399143381,30.54191852497519,0.0,0.0,QPSK,0.0015625,1.0,128.0
62,fixed_qpsk,14.998650672335819,18.53368911716691,0.0,0.0,QPSK,0.0,1.0,128.0
62,rule_based,14.998650672335819,18.53368911716691,0.0,0.0,16QAM,0.00390625,0.8,204.8
62,ml_based,14.998650672335819,18.53368911716691,0.0,0.0,16QAM,0.00390625,0.8,204.8
63,fixed_qpsk,2.8033780048385415,72.16437469026836,0.0859375,1.0,QPSK,0.084375,0.0,0.0
63,rule_based,2.8033780048385415,72.16437469026836,0.0859375,1.0,QPSK,0.084375,0.0,0.0
63,ml_based,2.8033780048385415,72.16437469026836,0.0859375,1.0,QPSK,0.084375,0.0,0.0
64,fixed_qpsk,27.141122176600586,4.5905387553446495,0.0,0.0,QPSK,0.0,1.0,128.0
64,rule_based,27.141122176600586,4.5905387553446495,0.0,0.0,64QAM,0.0,1.0,384.0
64,ml_based,27.141122176600586,4.5905387553446495,0.0,0.0,64QAM,0.0,1.0,384.0
65,fixed_qpsk,29.692085027535104,3.2265334533402057,0.0,0.0,QPSK,0.0,1.0,128.0
65,rule_based,29.692085027535104,3.2265334533402057,0.0,0.0,64QAM,0.0,1.0,384.0
65,ml_based,29.692085027535104,3.2265334533402057,0.0,0.0,64QAM,0.0,1.0,384.0
66,fixed_qpsk,1.7620565254674891,82.9538593306381,0.1171875,1.0,QPSK,0.13125,0.0,0.0
66,rule_based,1.7620565254674891,82.9538593306381,0.1171875,1.0,QPSK,0.13125,0.0,0.0
66,ml_based,1.7620565254674891,82.9538593306381,0.1171875,1.0,QPSK,0.13125,0.0,0.0
67,fixed_qpsk,10.746936557741442,29.735041678327175,0.0,0.0,QPSK,0.0,1.0,128.0
67,rule_based,10.746936557741442,29.735041678327175,0.0,0.0,QPSK,0.0,1.0,128.0
67,ml_based,10.746936557741442,29.735041678327175,0.0,0.0,QPSK,0.0,1.0,128.0
68,fixed_qpsk,21.901937334572505,8.086188611019054,0.0,0.0,QPSK,0.0,1.0,128.0
68,rule_based,21.901937334572505,8.086188611019054,0.0,0.0,64QAM,0.0026041666666666665,1.0,384.0
68,ml_based,21.901937334572505,8.086188611019054,0.0,0.0,64QAM,0.0026041666666666665,1.0,384.0
69,fixed_qpsk,9.427143936536481,34.552333591479616,0.0026041666666666665,0.3333333333333333,QPSK,0.0015625,1.0,128.0
